dataset,copy,seed,arm,status,epsilon,delta,ndcg_at_20,recall_at_20,precision_at_20,catalog_coverage_at_20,released_snr_median,clip_rate_mean,final_item_factor_norm,elapsed_seconds
amazon_kindle,1,20260821,matched_clip_no_noise,confirmatory_control_not_private,,1e-05,0.0123398125792301,0.011828117777215309,0.008209939148072887,0.498672331386086,,0.010826260553666875,1.7954903593377594,17.06420110000181
amazon_kindle,1,20260821,reference_full_nonprivate,confirmatory_control_not_private,,1e-05,0.057224349976833545,0.059040895477933925,0.03583671399594451,0.08647548238626306,,0.0,14.996878278169307,24.31078549999802
amazon_kindle,1,20260821,user_dp_full_catalog,confirmatory_user_level_dp_result,2.193078238018666,1e-05,0.0025875615906271634,0.0027645197139575493,0.0016480730223123819,0.728890069038768,0.013295464445408196,0.15300240825112418,26.609566474437823,17.68025749998924
amazon_kindle,2,20260822,matched_clip_no_noise,confirmatory_control_not_private,,1e-05,0.012953974633419515,0.012262551680603322,0.008214177061149845,0.4811471056824217,,0.010322829500949315,1.7902690005553514,17.438206999999238
amazon_kindle,2,20260822,reference_full_nonprivate,confirmatory_control_not_private,,1e-05,0.05827384597507898,0.059973738202403606,0.0361930838657352,0.09152062311913613,,0.0,15.01479459754619,25.178279400002793
amazon_kindle,2,20260822,user_dp_full_catalog,confirmatory_user_level_dp_result,2.193078238018666,1e-05,0.002685926120446333,0.0028570882226720694,0.0017493154852449145,0.7259691980881572,0.013185814168690942,0.15316430800111605,26.6098129604191,17.040158900010283
amazon_kindle,3,20260823,matched_clip_no_noise,confirmatory_control_not_private,,1e-05,0.012664907392627515,0.012633695525046323,0.008488843813387258,0.5101787927066738,,0.0115202600683071,1.8251225309383463,17.178820599991013
amazon_kindle,3,20260823,reference_full_nonprivate,confirmatory_control_not_private,,1e-05,0.05686239793396321,0.05796522727178577,0.03549188640973762,0.08081076296689679,,0.0,14.79887821658824,24.718921399995452
amazon_kindle,3,20260823,user_dp_full_catalog,confirmatory_user_level_dp_result,2.193078238018666,1e-05,0.0027343633481760167,0.0028929201464649606,0.0017292089249493002,0.7303062488936095,0.01329881090607756,0.1554561033837976,26.485541448574573,16.91184040000371
ml1m,1,20260821,matched_clip_no_noise,confirmatory_control_not_private,,1e-05,0.2598086112887796,0.12468842352252893,0.2253437137651129,0.03694331983805668,,0.5228250655761331,8.103886726055055,16.935383399992133
ml1m,1,20260821,reference_full_nonprivate,confirmatory_control_not_private,,1e-05,0.3471329476543462,0.16195824661980432,0.2930180553254907,0.06578947368421052,,0.0,21.737306546166145,30.47379170000204
ml1m,1,20260821,user_dp_full_catalog,confirmatory_user_level_dp_result,2.193078238018666,1e-05,0.26026495664422117,0.12438865364885625,0.2258654961073357,0.035931174089068825,0.09443801955593883,0.56198802912239,10.600432647944569,17.213706299997284
ml1m,2,20260822,matched_clip_no_noise,confirmatory_control_not_private,,1e-05,0.2601630819189576,0.12512460788839422,0.22544716793640046,0.04225708502024292,,0.5432859365258288,8.145898941594288,17.312281100006658
ml1m,2,20260822,reference_full_nonprivate,confirmatory_control_not_private,,1e-05,0.34905571374062067,0.16332417455117226,0.2931848294137105,0.0652834008097166,,0.0,21.712674615347495,29.636033400005545
