dataset,epsilon,relative_ndcg_loss_mean,relative_ndcg_loss_sd,private_ndcg_mean,private_ndcg_sd,released_snr_median_across_copies
amazon_kindle,1.0,0.83604229195848,0.014725653981691914,0.002072305762666558,0.000155410718210963,0.008208583794956918
amazon_kindle,2.193078238018666,0.7890211027153554,0.0044212394784461685,0.0026692836864165045,7.480251976160942e-05,0.013295464445408196
amazon_kindle,3.9999999999999876,0.7407987472803214,0.005837669469790511,0.0032803979984951125,0.000137493063033978,0.017429264458739414
amazon_kindle,8.000000000000085,0.6861749500649826,0.004089447162692997,0.0039706605275179815,0.00010125747304612001,0.02284017322407838
ml1m,1.0,0.0013460628473433618,0.004874291261812666,0.25929580720234463,0.0014511464044883696,0.04835686324601916
ml1m,2.193078238018666,0.00015278762902544893,0.0018673360623601188,0.25960528376874853,0.0006826993885897925,0.09436430034307378
ml1m,3.9999999999999876,8.803643912758119e-05,0.00037810568760965276,0.25962221912085615,0.0005799429119702713,0.14791654140255028
ml1m,8.000000000000085,0.00022407237114770626,0.00046651954008122864,0.25958683931973087,0.0005438315717727865,0.23138359180210694
netflix5k5k,1.0,0.037060517050995036,0.032930098886712465,0.16248730874803427,0.006542856306595206,0.013726283463132915
netflix5k5k,2.193078238018666,0.004241907990172729,0.01659387872191917,0.16801200173185757,0.0037825130386440245,0.019268162292585114
netflix5k5k,3.9999999999999876,6.604973089263666e-05,0.008332501237417378,0.16870939234559387,0.00222467878384036,0.022377548033187228
netflix5k5k,8.000000000000085,-0.0013010876856473323,0.008524400366784021,0.16893587678213481,0.0017180576293864055,0.02575243915727702
