dataset,copy,seed,arm,noise_multiplier,epsilon,delta,ndcg_at_20,recall_at_20,catalog_coverage_at_20,released_snr_median,clip_rate_mean,elapsed_seconds
amazon_kindle,1,20260821,matched,0.0,,1e-05,0.0123398125792301,0.011828117777215309,0.498672331386086,,0.010826260553666875,13.730938600027002
amazon_kindle,1,20260821,eps8,1.2158932001187188,8.000000000000085,1e-05,0.003853836383948403,0.0036886512363420404,0.7125154894671624,0.023108239879834583,0.05557021042970132,14.080321400077082
amazon_kindle,1,20260821,eps4,1.8856350365894983,3.9999999999999876,1e-05,0.003121949057599669,0.0031244830617817524,0.7182687201274562,0.017635961987827783,0.09449003240570741,14.373003900051117
amazon_kindle,1,20260821,eps2p193,3.0,2.193078238018666,1e-05,0.0025875615906271634,0.0027645197139575493,0.728890069038768,0.013295464445408196,0.15300240825112418,14.06057500001043
amazon_kindle,1,20260821,eps1,5.888829162483715,1.0,1e-05,0.0020940632500352913,0.002237515917473164,0.7288015577978403,0.008208583794956918,0.23221087078071748,14.025725399958901
amazon_kindle,2,20260822,matched,0.0,,1e-05,0.012953974633419515,0.012262551680603322,0.4811471056824217,,0.010322829500949315,14.424823000095785
amazon_kindle,2,20260822,eps8,1.2158932001187188,8.000000000000085,1e-05,0.004024929477640107,0.004072553708040019,0.7157904053814834,0.02254335886968626,0.05407422793977323,14.212526199989952
amazon_kindle,2,20260822,eps4,1.8856350365894983,3.9999999999999876,1e-05,0.003368270719014363,0.003461750102633701,0.7191538325367322,0.017310866699624387,0.09313598845078502,14.204301099991426
amazon_kindle,2,20260822,eps2p193,3.0,2.193078238018666,1e-05,0.002685926120446333,0.0028570882226720694,0.7259691980881572,0.013185814168690942,0.15316430800111605,14.591441199998371
amazon_kindle,2,20260822,eps1,5.888829162483715,1.0,1e-05,0.001907162797134101,0.0021216533052397625,0.7318109399893786,0.008153907445985396,0.23438097489298798,14.36599069996737
amazon_kindle,3,20260823,matched,0.0,,1e-05,0.012664907392627515,0.012633695525046323,0.5101787927066738,,0.0115202600683071,14.22452210006304
amazon_kindle,3,20260823,eps8,1.2158932001187188,8.000000000000085,1e-05,0.004033215720965434,0.003834191915629168,0.718091697645601,0.02284017322407838,0.05556043286831931,14.664550799992867
amazon_kindle,3,20260823,eps4,1.8856350365894983,3.9999999999999876,1e-05,0.0033509742188713052,0.0034090827774893215,0.7257036643653744,0.017429264458739414,0.09509837633361981,14.946772600058466
amazon_kindle,3,20260823,eps2p193,3.0,2.193078238018666,1e-05,0.0027343633481760167,0.0028929201464649606,0.7303062488936095,0.01329881090607756,0.1554561033837976,14.19990120001603
amazon_kindle,3,20260823,eps1,5.888829162483715,1.0,1e-05,0.002215691240830282,0.002421036191620823,0.7351743671446274,0.00830607378260673,0.23551750175380362,14.012470200075768
ml1m,1,20260821,matched,0.0,,1e-05,0.2598086112887796,0.12468842352252893,0.03694331983805668,,0.5228250655761331,14.479680200107396
ml1m,1,20260821,eps8,1.2158932001187188,8.000000000000085,1e-05,0.25962688539551415,0.12426325036217417,0.0326417004048583,0.23138359180210694,0.5354668633343792,13.857534699956886
ml1m,1,20260821,eps4,1.8856350365894983,3.9999999999999876,1e-05,0.2598736631600541,0.12443587869371338,0.032388663967611336,0.14791654140255028,0.5464306407278524,14.21754730003886
ml1m,1,20260821,eps2p193,3.0,2.193078238018666,1e-05,0.26026495664422117,0.12438865364885625,0.035931174089068825,0.09443801955593883,0.56198802912239,16.613315199967474
ml1m,1,20260821,eps1,5.888829162483715,1.0,1e-05,0.2609044391155618,0.12430954395025529,0.05237854251012146,0.04807947407299624,0.5916093185763894,14.104565900051966
ml1m,2,20260822,matched,0.0,,1e-05,0.2601630819189576,0.12512460788839422,0.04225708502024292,,0.5432859365258288,14.202279500081204
ml1m,2,20260822,eps8,1.2158932001187188,8.000000000000085,1e-05,0.2601095409010685,0.12522785598981484,0.04225708502024292,0.22925672546971976,0.5567487212396292,14.21200190007221
ml1m,2,20260822,eps4,1.8856350365894983,3.9999999999999876,1e-05,0.2600340058942163,0.12518422359861267,0.049342105263157895,0.147386566217809,0.5668128732619158,14.34813109994866
ml1m,2,20260822,eps2p193,3.0,2.193078238018666,1e-05,0.2596492149435805,0.12493278221032526,0.05465587044534413,0.09410689932370958,0.5816299425317226,13.908663100097328
ml1m,2,20260822,eps1,5.888829162483715,1.0,1e-05,0.2588977589076217,0.12449962533991059,0.07059716599190283,0.048828313889225164,0.610159479578995,13.912616200046614
ml1m,3,20260823,matched,0.0,,1e-05,0.25896374238494474,0.12371170022153219,0.02479757085020243,,0.5237617807933769,14.639705599984154
ml1m,3,20260823,eps8,1.2158932001187188,8.000000000000085,1e-05,0.25902409166260987,0.12357755444105997,0.026062753036437247,0.23350993970122857,0.5293447161516085,14.175073600024916
ml1m,3,20260823,eps4,1.8856350365894983,3.9999999999999876,1e-05,0.258958988308298,0.12355717183096217,0.030617408906882592,0.15070330149302238,0.5394982293003538,14.221335000009276
ml1m,3,20260823,eps2p193,3.0,2.193078238018666,1e-05,0.2589016797184438,0.12353424918214793,0.03694331983805668,0.09436430034307378,0.5558143980603047,14.21186999999918
ml1m,3,20260823,eps1,5.888829162483715,1.0,1e-05,0.2580852235838505,0.12291238858317557,0.0652834008097166,0.04835686324601916,0.5874016774222953,14.18816500005778
netflix5k5k,1,20260821,matched,0.0,,1e-05,0.16868462455282543,0.14893138497836197,0.6332,,0.016433813919004944,7.114478500094265
netflix5k5k,1,20260821,eps8,1.2158932001187188,8.000000000000085,1e-05,0.1704279014674055,0.1510358391406851,0.5568,0.03193809279772976,0.039254750437487024,7.085906699998304
netflix5k5k,1,20260821,eps4,1.8856350365894983,3.9999999999999876,1e-05,0.1702954954600948,0.1513956426491722,0.563,0.02703833615748718,0.054252980748207225,7.0317520999815315
netflix5k5k,1,20260821,eps2p193,3.0,2.193078238018666,1e-05,0.17092595459670507,0.15381165491198207,0.576,0.02254796776526427,0.07590815414790619,7.0393423000350595
netflix5k5k,1,20260821,eps1,5.888829162483715,1.0,1e-05,0.16781986747275313,0.14997091522848963,0.6154,0.015538219070314866,0.11657635500381767,7.130856500007212
netflix5k5k,2,20260822,matched,0.0,,1e-05,0.16702914989043136,0.1459048924143702,0.5814,,0.0215144199630561,7.13354040007107
netflix5k5k,2,20260822,eps8,1.2158932001187188,8.000000000000085,1e-05,0.16705755760308097,0.1462439793293965,0.5678,0.021877407624296668,0.02529314279376071,7.084604699979536
netflix5k5k,2,20260822,eps4,1.8856350365894983,3.9999999999999876,1e-05,0.1661663683960191,0.14475521931012875,0.5842,0.017302840666448945,0.033814818432650155,7.066375199938193
netflix5k5k,2,20260822,eps2p193,3.0,2.193078238018666,1e-05,0.16373739084592545,0.13980216279230176,0.6054,0.014488720730375342,0.05064593644119641,7.158623299910687
netflix5k5k,2,20260822,eps1,5.888829162483715,1.0,1e-05,0.15518617968645898,0.12763067469930706,0.6488,0.011063286830092025,0.09041577221052384,7.054783400031738
netflix5k5k,3,20260823,matched,0.0,,1e-05,0.17044735338145342,0.14953784015367907,0.622,,0.012116150352872612,7.0602880999213085
netflix5k5k,3,20260823,eps8,1.2158932001187188,8.000000000000085,1e-05,0.1693221712759179,0.14582794128153712,0.5746,0.02575243915727702,0.03184184705714708,7.013147799996659
netflix5k5k,3,20260823,eps4,1.8856350365894983,3.9999999999999876,1e-05,0.16966631318066772,0.14652797461401007,0.5804,0.022377548033187228,0.04636279691108241,7.123287700000219
netflix5k5k,3,20260823,eps2p193,3.0,2.193078238018666,1e-05,0.16937265975294213,0.14697349967942733,0.593,0.019268162292585114,0.06828231867249943,7.162676900043152
netflix5k5k,3,20260823,eps1,5.888829162483715,1.0,1e-05,0.16445587908489065,0.14015580401181052,0.6312,0.013726283463132915,0.10995826106758143,7.050211799913086
