dataset,copy,rate_label,user_learning_rate,item_learning_rate,matched_ndcg@20_round150,matched_ndcg@20_round200,matched_relative_ndcg_gain_150_to_200,matched_relative_objective_drop_150_to_200,extension_triggered,private_ndcg@20_round200
ml1m,1,published,3.0,0.3,0.2602583481143161,0.259654166169218,-0.0023214699911670495,0.029020601235784912,True,0.2589820026251798
ml1m,1,common_high,7.0,0.7,0.2586027509176517,0.2589462416629156,0.0013282563470225113,-0.0006179530421802314,False,0.25880838322255423
ml1m,2,published,3.0,0.3,0.2601207592146449,0.25980027619356416,-0.0012320547658261928,0.030013707016775956,True,0.25969978968758267
ml1m,2,common_high,7.0,0.7,0.25943542816677284,0.25882630926515565,-0.0023478632271673764,-8.992973806235379e-05,False,0.2596190992579484
ml1m,3,published,3.0,0.3,0.25903905886551964,0.2585526554285927,-0.0018777223753715072,0.02894953463165988,True,0.2581933043531768
ml1m,3,common_high,7.0,0.7,0.25767204091250406,0.25690119826537133,-0.0029915649536632494,-0.0008810830619496427,False,0.25762387189362035
amazon_kindle,1,published,7.0,0.7,0.007137084875211825,0.012411932655256511,0.7390759493928719,0.00011156095008575208,True,0.002399040882521157
amazon_kindle,1,common_low,3.0,0.3,0.0020512261200002556,0.002532204275283416,0.2344832442378905,1.2903233936185151e-05,True,0.0017789538959858118
amazon_kindle,1,mixed_item_low,7.0,0.3,0.002738301457613907,0.0044298823650859714,0.6177482405264718,3.101435441682366e-05,True,0.0020247386080282995
amazon_kindle,2,published,7.0,0.7,0.006788063691298501,0.012470197583854937,0.8370772802029338,0.0001065658849475225,True,0.0026980060517426386
amazon_kindle,2,common_low,3.0,0.3,0.0019723150552270062,0.0023658369871852564,0.19952285559821842,1.289628239073758e-05,True,0.0018430817567964774
amazon_kindle,2,mixed_item_low,7.0,0.3,0.002560726156152465,0.00392796406496798,0.5339258575269967,3.0491061806330002e-05,True,0.001994559530797914
amazon_kindle,3,published,7.0,0.7,0.007027415021470791,0.012736950156487169,0.8124659092386166,0.00010198199884951938,True,0.0027453265107982732
amazon_kindle,3,common_low,3.0,0.3,0.002139822954231512,0.002683370998259847,0.2540154282173046,1.2695076041289877e-05,True,0.0015948263584309034
amazon_kindle,3,mixed_item_low,7.0,0.3,0.00282931323338717,0.004223013695121437,0.49259320081211744,2.968197488179141e-05,True,0.001858540197317487
netflix5k5k,1,published,2.4,0.24,0.1636531181132292,0.17078446039866926,0.04357596340147948,0.006456699420605627,False,0.168089524782627
netflix5k5k,1,common_low,3.0,0.3,0.16993592119004705,0.17252089528991651,0.015211463719778056,0.02655361220962292,True,0.17476760078510345
netflix5k5k,1,common_high,7.0,0.7,0.18200972652548836,0.1824350081001317,0.0023365870756570624,0.003176864036796488,False,0.17670403471035476
netflix5k5k,2,published,2.4,0.24,0.15624335539814632,0.16625329702270697,0.06406635084770719,0.0036506213174061085,True,0.1654664340076438
netflix5k5k,2,common_low,3.0,0.3,0.1661749227376753,0.17095618237392698,0.02877244988282255,0.019404551424070597,True,0.17115545713977995
netflix5k5k,2,common_high,7.0,0.7,0.1808758633204909,0.18438163591131243,0.019382202392641528,0.0038560197036925027,False,0.17777974930864915
netflix5k5k,3,published,2.4,0.24,0.15398941804893365,0.16789276611182768,0.09028768495297466,0.002327898052241135,True,0.1677340658865927
netflix5k5k,3,common_low,3.0,0.3,0.16835231918361054,0.17160874463067483,0.019342920031370153,0.015598981671163956,True,0.1743005459425543
netflix5k5k,3,common_high,7.0,0.7,0.18195615726802586,0.18254278128110366,0.0032239855022530794,0.0045473183255923125,False,0.1784743177884244
