dataset,copy,seed,arm,cutoff,ndcg@10,recall@10,one_call@10,ndcg@20,recall@20,one_call@20
ml1m,1,20260821,matched,10,0.2739301103601017,0.07189346638588162,0.7806857710783501,,,
ml1m,1,20260821,matched,20,,,,0.2598086112887796,0.12468842352252893,0.8911711114792116
ml1m,1,20260821,eps2p193,10,0.27474277777880607,0.07223254364031399,0.7841643200265033,,,
ml1m,1,20260821,eps2p193,20,,,,0.26026495664422117,0.12438865364885625,0.8908398211031969
ml1m,2,20260822,matched,10,0.27209345259322104,0.07285510891012592,0.789665452136469,,,
ml1m,2,20260822,matched,20,,,,0.2601630819189576,0.12512460788839422,0.8948327260682345
ml1m,2,20260822,eps2p193,10,0.2722847735012032,0.07279758700247956,0.78767803908579,,,
ml1m,2,20260822,eps2p193,20,,,,0.2596492149435805,0.12493278221032526,0.8936734017886717
ml1m,3,20260823,matched,10,0.2716142182884477,0.07151218879658501,0.7830048037104522,,,
ml1m,3,20260823,matched,20,,,,0.25896374238494474,0.12371170022153219,0.8939870796753354
ml1m,3,20260823,eps2p193,10,0.27215050403991137,0.07185903999131116,0.7841643200265033,,,
ml1m,3,20260823,eps2p193,20,,,,0.2589016797184438,0.12353424918214793,0.8929932085472917
amazon_kindle,1,20260821,matched,10,0.011508404516404567,0.007008130055486855,0.07616632860040567,,,
amazon_kindle,1,20260821,matched,20,,,,0.0123398125792301,0.011828117777215309,0.11450304259634889
amazon_kindle,1,20260821,eps2p193,10,0.0021959416863584266,0.0014911240289617108,0.018154158215010142,,,
amazon_kindle,1,20260821,eps2p193,20,,,,0.0025875615906271634,0.0027645197139575493,0.0321501014198783
amazon_kindle,2,20260822,matched,10,0.012172972970103037,0.0075184039741757625,0.07798397728425109,,,
amazon_kindle,2,20260822,matched,20,,,,0.012953974633419515,0.012262551680603322,0.11783794746983065
amazon_kindle,2,20260822,eps2p193,10,0.002272253430661361,0.0014799463268673758,0.01794949802251293,,,
amazon_kindle,2,20260822,eps2p193,20,,,,0.002685926120446333,0.0028570882226720694,0.033059527431295
amazon_kindle,3,20260823,matched,10,0.011430683918611037,0.007476105987054031,0.07991886409736308,,,
amazon_kindle,3,20260823,matched,20,,,,0.012664907392627515,0.012633695525046323,0.12474645030425964
amazon_kindle,3,20260823,eps2p193,10,0.0023943604172695417,0.0016982034642084951,0.019675456389452332,,,
amazon_kindle,3,20260823,eps2p193,20,,,,0.0027343633481760167,0.0028929201464649606,0.033772819472616636
netflix5k5k,1,20260821,matched,10,0.1700964380563994,0.0918178200964712,0.5472958414134885,,,
netflix5k5k,1,20260821,matched,20,,,,0.16868462455282543,0.14893138497836197,0.6349924585218703
netflix5k5k,1,20260821,eps2p193,10,0.17049868360940706,0.09021807627541958,0.544063779357897,,,
netflix5k5k,1,20260821,eps2p193,20,,,,0.17092595459670507,0.15381165491198207,0.6500754147812972
netflix5k5k,2,20260822,matched,10,0.1691468710276911,0.09189748872318021,0.5467905770477631,,,
netflix5k5k,2,20260822,matched,20,,,,0.16702914989043136,0.1459048924143702,0.6295655932569699
netflix5k5k,2,20260822,eps2p193,10,0.16596276334348856,0.08553213821375776,0.5370650529500757,,,
netflix5k5k,2,20260822,eps2p193,20,,,,0.16373739084592545,0.13980216279230176,0.6220012967365464
netflix5k5k,3,20260823,matched,10,0.17109770351276246,0.08948843880088964,0.5400259627866725,,,
netflix5k5k,3,20260823,matched,20,,,,0.17044735338145342,0.14953784015367907,0.6378191259195154
netflix5k5k,3,20260823,eps2p193,10,0.1696989672755997,0.08644522293068796,0.5424058848983124,,,
netflix5k5k,3,20260823,eps2p193,20,,,,0.16937265975294213,0.14697349967942733,0.6393336218087408
