dataset,setting,copy,seed,arm,ndcg_at_20,recall_at_20,user_learning_rate,item_learning_rate
ml1m,common_lr3,1,20260821,matched,0.2598086112887796,0.12468842352252893,3.0,0.3
ml1m,common_lr3,1,20260821,user_dp,0.26026495664422117,0.12438865364885625,3.0,0.3
ml1m,common_lr3,2,20260822,matched,0.2601630819189576,0.12512460788839422,3.0,0.3
ml1m,common_lr3,2,20260822,user_dp,0.2596492149435805,0.12493278221032526,3.0,0.3
ml1m,common_lr3,3,20260823,matched,0.25896374238494474,0.12371170022153219,3.0,0.3
ml1m,common_lr3,3,20260823,user_dp,0.2589016797184438,0.12353424918214793,3.0,0.3
ml1m,high_lr7_stress,1,20260821,matched,0.2590252107290352,0.12433278003714601,7.0,0.7
ml1m,high_lr7_stress,1,20260821,user_dp,0.26109401962795564,0.12468192702028018,7.0,0.7
ml1m,high_lr7_stress,2,20260822,matched,0.25894570868446254,0.12469571302694986,7.0,0.7
ml1m,high_lr7_stress,2,20260822,user_dp,0.2599217831975414,0.1247686509953211,7.0,0.7
ml1m,high_lr7_stress,3,20260823,matched,0.2576728562066169,0.1234469184422419,7.0,0.7
ml1m,high_lr7_stress,3,20260823,user_dp,0.25899156163077364,0.12385644977026854,7.0,0.7
amazon_kindle,common_lr3,1,20260821,matched,0.002448021617027337,0.0025015387087480214,3.0,0.3
amazon_kindle,common_lr3,1,20260821,user_dp,0.001829155023927384,0.0021444802405149173,3.0,0.3
amazon_kindle,common_lr3,2,20260822,matched,0.0023822988995274635,0.0025188970290195675,3.0,0.3
amazon_kindle,common_lr3,2,20260822,user_dp,0.0018567465184413064,0.0019940217942768074,3.0,0.3
amazon_kindle,common_lr3,3,20260823,matched,0.002492669638834443,0.0027755484398624243,3.0,0.3
amazon_kindle,common_lr3,3,20260823,user_dp,0.0014807414267647174,0.0017514572262548067,3.0,0.3
amazon_kindle,high_lr7_stress,1,20260821,matched,0.0123398125792301,0.011828117777215309,7.0,0.7
amazon_kindle,high_lr7_stress,1,20260821,user_dp,0.0025875615906271634,0.0027645197139575493,7.0,0.7
amazon_kindle,high_lr7_stress,2,20260822,matched,0.012953974633419515,0.012262551680603322,7.0,0.7
amazon_kindle,high_lr7_stress,2,20260822,user_dp,0.002685926120446333,0.0028570882226720694,7.0,0.7
amazon_kindle,high_lr7_stress,3,20260823,matched,0.012664907392627515,0.012633695525046323,7.0,0.7
amazon_kindle,high_lr7_stress,3,20260823,user_dp,0.0027343633481760167,0.0028929201464649606,7.0,0.7
netflix5k5k,common_lr3,1,20260821,matched,0.17210342985905408,0.15421744077696614,3.0,0.3
netflix5k5k,common_lr3,1,20260821,user_dp,0.17503933001315478,0.1622336564497113,3.0,0.3
netflix5k5k,common_lr3,2,20260822,matched,0.17104309227515757,0.1548102384469844,3.0,0.3
netflix5k5k,common_lr3,2,20260822,user_dp,0.1701929243544267,0.15265826892432144,3.0,0.3
netflix5k5k,common_lr3,3,20260823,matched,0.1728525175744588,0.1527268597827965,3.0,0.3
netflix5k5k,common_lr3,3,20260823,user_dp,0.1734435141024537,0.1557864111552585,3.0,0.3
netflix5k5k,high_lr7_stress,1,20260821,matched,0.18281008074236682,0.18625035753161756,7.0,0.7
netflix5k5k,high_lr7_stress,1,20260821,user_dp,0.17642749189213916,0.16988130002919669,7.0,0.7
netflix5k5k,high_lr7_stress,2,20260822,matched,0.18201688522188897,0.18454959157543108,7.0,0.7
netflix5k5k,high_lr7_stress,2,20260822,user_dp,0.17775921380897128,0.17488812437854032,7.0,0.7
netflix5k5k,high_lr7_stress,3,20260823,matched,0.1837665200148817,0.1844518375925221,7.0,0.7
netflix5k5k,high_lr7_stress,3,20260823,user_dp,0.17749941995303767,0.17134773208001927,7.0,0.7
