dataset,setting,copy,users_evaluated,margin_median,linf_perturbation_median,stability_ratio_median,top20_replacement_fraction_mean
ml1m,common_lr3,1,6037,0.0016262639995723305,0.016851025745653184,0.06147783903283976,0.03299652145105187
ml1m,common_lr3,2,6038,0.0022167574400216855,0.015668326435820584,0.12056647947125965,0.03754554488241143
ml1m,common_lr3,3,6037,0.0019661216842341567,0.021161846442644017,0.04457201483623296,0.030967367897962582
ml1m,high_lr7_stress,1,6037,0.0018103890118439936,0.031000433409246134,0.03647716388190543,0.06172767931091603
ml1m,high_lr7_stress,2,6038,0.0022328924235362757,0.02633299254865799,0.03769223367076775,0.05974660483603844
ml1m,high_lr7_stress,3,6037,0.002469180498637008,0.02783702338952306,0.036281333131775804,0.04576776544641379
amazon_kindle,common_lr3,1,9860,3.9690972363475566e-07,0.001536723422899348,0.00012512680181397305,0.9957707910750506
amazon_kindle,common_lr3,2,9861,4.067251403044067e-07,0.0015494711209694167,0.00012565214398852658,0.9953858635026873
amazon_kindle,common_lr3,3,9860,4.145938610725135e-07,0.0015393973086836985,0.00012949559356894267,0.9952332657200811
amazon_kindle,high_lr7_stress,1,9860,1.1104028284345576e-06,0.010427634474350803,5.1619364600664264e-05,0.9943610547667344
amazon_kindle,high_lr7_stress,2,9861,1.0985975337336697e-06,0.010619169499061684,5.096764344477052e-05,0.9931092181320355
amazon_kindle,high_lr7_stress,3,9860,1.245601128098761e-06,0.010511747595801275,5.737539741396751e-05,0.9935902636916835
netflix5k5k,common_lr3,1,4641,0.00011624768575157346,0.02254374144226961,0.0021936921684763957,0.22378797672915318
netflix5k5k,common_lr3,2,4627,3.81225417311528e-05,0.010947091437162604,0.002083746063273597,0.26414523449319216
netflix5k5k,common_lr3,3,4622,8.54463671440892e-05,0.020815656817381904,0.001761100806282238,0.2478472522717438
netflix5k5k,high_lr7_stress,1,4641,0.0005678273143025526,0.014756078205325495,0.01865641678680234,0.18953889248006897
netflix5k5k,high_lr7_stress,2,4627,0.0004444058283787633,0.014953478914822058,0.01672601597098765,0.20114545061594988
netflix5k5k,high_lr7_stress,3,4622,0.0012152742029621771,0.0146937029379881,0.028872774511285476,0.1799329294677629
