dataset,setting,copy,arm,cutoff,ndcg,recall
ml1m,common_lr3,1,matched,5,0.2936773021884931,0.040449812987606
ml1m,common_lr3,1,matched,10,0.2739301103601017,0.07189346638588162
ml1m,common_lr3,1,matched,20,0.2598086112887796,0.12468842352252893
ml1m,common_lr3,1,matched,50,0.2553592174360762,0.22100317326427893
ml1m,common_lr3,1,user_dp,5,0.29572604408534187,0.04126904042645411
ml1m,common_lr3,1,user_dp,10,0.27474277777880607,0.07223254364031399
ml1m,common_lr3,1,user_dp,20,0.26026495664422117,0.12438865364885625
ml1m,common_lr3,1,user_dp,50,0.25493386801295786,0.21961646681115246
ml1m,common_lr3,2,matched,5,0.2918462472299309,0.041256565147306225
ml1m,common_lr3,2,matched,10,0.27209345259322104,0.07285510891012592
ml1m,common_lr3,2,matched,20,0.2601630819189576,0.12512460788839422
ml1m,common_lr3,2,matched,50,0.25669158424996624,0.22306023517443285
ml1m,common_lr3,2,user_dp,5,0.2922087953656403,0.04099917426050211
ml1m,common_lr3,2,user_dp,10,0.2722847735012032,0.07279758700247956
ml1m,common_lr3,2,user_dp,20,0.2596492149435805,0.12493278221032526
ml1m,common_lr3,2,user_dp,50,0.2565029416412919,0.22289293125877188
ml1m,common_lr3,3,matched,5,0.2928477499882211,0.040973373078915944
ml1m,common_lr3,3,matched,10,0.2716142182884477,0.07151218879658501
ml1m,common_lr3,3,matched,20,0.25896374238494474,0.12371170022153219
ml1m,common_lr3,3,matched,50,0.2556112166983107,0.22202028808322027
ml1m,common_lr3,3,user_dp,5,0.29358407259910757,0.040859276475035046
ml1m,common_lr3,3,user_dp,10,0.27215050403991137,0.07185903999131116
ml1m,common_lr3,3,user_dp,20,0.2589016797184438,0.12353424918214793
ml1m,common_lr3,3,user_dp,50,0.25612843395579277,0.22313560522286624
ml1m,high_lr7_stress,1,matched,5,0.2922725287642247,0.040332996518633674
ml1m,high_lr7_stress,1,matched,10,0.2736560209300189,0.07253226655140635
ml1m,high_lr7_stress,1,matched,20,0.2590252107290352,0.12433278003714601
ml1m,high_lr7_stress,1,matched,50,0.2553786557001452,0.22233247320060975
ml1m,high_lr7_stress,1,user_dp,5,0.29731409768175854,0.041690035684263625
ml1m,high_lr7_stress,1,user_dp,10,0.27688895549893416,0.07305634239765325
ml1m,high_lr7_stress,1,user_dp,20,0.26109401962795564,0.12468192702028018
ml1m,high_lr7_stress,1,user_dp,50,0.2562191161438821,0.2218699781877987
ml1m,high_lr7_stress,2,matched,5,0.2925849432381365,0.04241382075848059
ml1m,high_lr7_stress,2,matched,10,0.2718684628453232,0.07315935767909955
ml1m,high_lr7_stress,2,matched,20,0.25894570868446254,0.12469571302694986
ml1m,high_lr7_stress,2,matched,50,0.25606264003664536,0.2226658286928557
ml1m,high_lr7_stress,2,user_dp,5,0.2963261194887428,0.04132156986517394
ml1m,high_lr7_stress,2,user_dp,10,0.27393776247385404,0.07292997031904443
ml1m,high_lr7_stress,2,user_dp,20,0.2599217831975414,0.1247686509953211
ml1m,high_lr7_stress,2,user_dp,50,0.2571747050951361,0.22389272938084054
ml1m,high_lr7_stress,3,matched,5,0.29152773834055146,0.04095093454894756
ml1m,high_lr7_stress,3,matched,10,0.2708756291943454,0.07141209834898399
ml1m,high_lr7_stress,3,matched,20,0.2576728562066169,0.1234469184422419
ml1m,high_lr7_stress,3,matched,50,0.2552765848771294,0.22279522002383378
ml1m,high_lr7_stress,3,user_dp,5,0.2922169580810601,0.04037031106821021
ml1m,high_lr7_stress,3,user_dp,10,0.26975810298002584,0.07112409899885283
ml1m,high_lr7_stress,3,user_dp,20,0.25899156163077364,0.12385644977026854
ml1m,high_lr7_stress,3,user_dp,50,0.25580835575202865,0.22304352807621877
amazon_kindle,common_lr3,1,matched,5,0.002307471012947967,0.0009241492477836146
amazon_kindle,common_lr3,1,matched,10,0.0022065074853315878,0.0014067282201313098
amazon_kindle,common_lr3,1,matched,20,0.002448021617027337,0.0025015387087480214
amazon_kindle,common_lr3,1,matched,50,0.0036685171279293174,0.005913321485690663
amazon_kindle,common_lr3,1,user_dp,5,0.001352463195606759,0.0006467333717355152
amazon_kindle,common_lr3,1,user_dp,10,0.0013829517973724646,0.0010409982134107103
amazon_kindle,common_lr3,1,user_dp,20,0.001829155023927384,0.0021444802405149173
amazon_kindle,common_lr3,1,user_dp,50,0.002888937451414507,0.004836144277174219
amazon_kindle,common_lr3,2,matched,5,0.002072203103747394,0.000730059292598513
amazon_kindle,common_lr3,2,matched,10,0.002031958834915637,0.0013268258638736298
amazon_kindle,common_lr3,2,matched,20,0.0023822988995274635,0.0025188970290195675
amazon_kindle,common_lr3,2,matched,50,0.0035661407267571447,0.005753255883896723
